Wrong,Correct
"в результате оперативно-разыскных мероприятий четвёрку дополнительно изобличили в серии преступлений. им вменяют 17 краж, девять грабежей и два разбойных нападения в период с декабря 2015 по февраль 2016 года. за два месяца их жертвами стали пенсионеры в разных районах города. мастера не злоупотребляли выходными и не всегда ограничивались одной квартирой за день. почти три десятка уголовных дел объединили в одно, расследование которого продолжается.","в результате оперативно-розыскных мероприятий четвёрку дополнительно изобличили в серии преступлений. им вменяют 17 краж, девять грабежей и два разбойных нападения в период с декабря 2015 по февраль 2016 года. за два месяца их жертвами стали пенсионеры в разных районах города. мастера не злоупотребляли выходными и не всегда ограничивались одной квартирой за день. почти три десятка уголовных дел объединили в одно, расследование которого продолжается."
"бизнес-клуб сине-бело-голубых это закрытый ресторан, предлагающий качественный сервис и изысканное фуршетное обслуживание, включающее закуски, горячие блюда, десерты, горячие и прохладительные напитки. места в чаше арены для посетителей бизнес-клуба расположены на секторах c107, c108 и c109, говорится в сообщении зенита.","бизнес-клуб сине-бело-голубых это закрытый ресторан, предлагающий качественный сервис и изысканное фуршетное обслуживание, включающее закуски, горячие блюда, десерты, горячие и прохладительные напитки. места в чаше арены для посетителей бизнес-клуба расположены на секторах c107, c108 и c109, говорится в сообщении зенита."
"дошколята помогли завоевать гран-при соревнований по робототехникекоманда из россии выиграла гран-при iii международных детских соревнований по образовательной робототехнике iyrc, состоявшихся в научно-технической столице южной кореи тэджоне (taejon).","дошколята помогли завоевать гран-при соревнований по робототехнике команда из россии выиграла гран-при iii международных детских соревнований по образовательной робототехнике iyrc, состоявшихся в научно-технической столице южной кореи тэджоне (taejon)."
"фонд экспертного содествия айнар""время новостей"" - выпуск от 28.10.2013 г.","фонд экспертного содействия айнар ""время новостей"" - выпуск от 28.10.2013 г."
"по данным jll, на центральных торговых улицах города в ожидании высокого сезона чаще всего открываются бургерные, кофейни, рестораны. так, в апреле-июне начали работу гастропаб гент на московском проспекте, япоша burgers на каменноостровском, moo moo burgers на сенной площади.","по данным jll, на центральных торговых улицах города в ожидании высокого сезона чаще всего открываются бургерные, кофейни, рестораны. так, в апреле-июне начали работу гастропаб гент на московском проспекте, япоша burgers на каменноостровском, moo moo burgers на сенной площади."
"сумма отступных, которые сине-бело-голубые заплатили бывшему клубу футболиста ривер плейт, не уточняется. по словам агента игрока, покупкаобошлась в 21 миллион евро.","сумма отступных, которые сине-бело-голубые заплатили бывшему клубу футболиста ривер плейт, не уточняется. по словам агента игрока, покупка обошлась в 21 миллион евро."
"здание кушелевского хлебзавода на политехнической улице в петербурге приобрело статус памятника регионального значения. о решении внести дом в единый государственный реестр 25 мая сообщили в комитете по государственному контролю, использованию и охране памятников истории и культуры.","здание кушелевского хлебзавода на политехнической улице в петербурге приобрело статус памятника регионального значения. о решении внести дом в единый государственный реестр 25 мая сообщили в комитете по государственному контролю, использованию и охране памятников истории и культуры."
"законодательное собрание петербурга отклонило возможность проведения ещё двух референдумов: об отзыве оппозиционных депутатов и запрете анонимности в интернете. как сообщает 28 июня корреспондент ""фонтанки"", депутаты партии власти и оппозиционных фракций обвинили друг друга в том, что заявки на проведение народных голосований были ""фейковыми"".","законодательное собрание петербурга отклонило возможность проведения ещё двух референдумов: об отзыве оппозиционных депутатов и запрете анонимности в интернете. как сообщает 28 июня корреспондент «фонтанки», депутаты партии власти и оппозиционных фракций обвинили друг друга в том, что заявки на проведение народных голосований были «фейковыми»."
"ко времени закрытия полигона в городе должен появиться региональный оператор по обращению с отходами. в единый тариф придется включать удлиненный путь до полигонов. формально этот оператор еще не определен. однако участники рынка не боятся предполагать, хоть и анонимно, что город в итоге поделят между двумя крупнейшими отраслевыми компаниями. спецтранс 1, аффилированный с новым светом эко, взял бы себе южные районы по левую руку от невы. мпбо-2 в этой конструкции получает север, благо и заводы предприятия расположены там.","ко времени закрытия полигона в городе должен появиться региональный оператор по обращению с отходами. в единый тариф придётся включать удлинённый путь до полигонов. формально этот оператор ещё не определён. однако участники рынка не боятся предполагать, хоть и анонимно, что город в итоге поделят между двумя крупнейшими отраслевыми компаниями. спецтранс 1, аффилированный с новым светом эко, взял бы себе южные районы по левую руку от невы. мпбо-2 в этой конструкции получает север, благо и заводы предприятия расположены там."
"таким образом тариффные игры повышают цену, но, вместе с тем, создают конкурентоспособность местной экономики, цены высокие, но у всех есть работа и все довольны.","таким образом тарифные игры повышают цену, но, вместе с тем, создают конкурентоспособность местной экономики, цены высокие, но у всех есть работа и все довольны."
"глава консалтинговой фирмы eurasia group иан бреммер, ссылаясь на гостей вечера, во время которого состоялась встреча, заявил, что почти все присутствавшие на ужине сочли это действительно странным.","глава консалтинговой фирмы eurasia group иан бреммер, ссылаясь на гостей вечера, во время которого состоялась встреча, заявил, что почти все присутствовавшие на ужине сочли это действительно странным."
"борстен сообщила, что на церемонии прощания были только российские актеры.","борстен сообщила, что на церемонии прощания были только российские актеры."
"в акит ожидают, что к 2018 году число компаний, зарегистрированных на экспортном портале санкт-петербурга, превысит 10 тысяч, а объем поставок вырастет в 2 2,5 раза от нынешнего объема до 100 150 тысяч заказов. россия может поставлять не только, что называется, чапельники и балалайки. до 40% товаров, продающихся у крупных ретейлеров, вроде м.видео, эльдорадо, mediamarkt, это российская или собранная в россии продукция, подчеркнул он. также, по его мнению, экспортным потенциалом обладают такие категории, как детские игрушки и ювелирные изделия.","в акит ожидают, что к 2018 году число компаний, зарегистрированных на экспортном портале санкт-петербурга, превысит 10 тысяч, а объём поставок вырастет в 2-2,5 раза от нынешнего объёма до 100-150 тысяч заказов. россия может поставлять не только, что называется, чапельники и балалайки. до 40% товаров, продающихся у крупных ретейлеров, вроде м.видео, эльдорадо, mediamarkt, это российская или собранная в россии продукция, подчеркнул он. также, по его мнению, экспортным потенциалом обладают такие категории, как детские игрушки и ювелирные изделия."
цуканов является одним из основателей музея открытки при всероссийском музее декоративно-прикладного и народного искусства.,цуканов является одним из основателей музея открытки при всероссийском музее декоративно-прикладного и народного искусства.
справка о компаниии ао строительный трест,справка о компании ао строительный трест
"жилищный комитет хочет потратить в 2018 году не 23,8 млрд рублей, которые уже согласованы с комфином, а порядка 30 млрд. треть допрасходов различные жилищные программы, еще почти 2,5 млрд субсидии для фонда регионального оператора капитального ремонта общего имущества в многоквартирных домах.","жилищный комитет хочет потратить в 2018 году не 23,8 млрд рублей, которые уже согласованы с комфином, а порядка 30 млрд. треть допрасходов различные жилищные программы, ещё почти 2,5 млрд субсидии для фонда регионального оператора капитального ремонта общего имущества в многоквартирных домах."
ведь события паралельно происходили.,ведь события параллельно происходили.
"представитель рпц рассказал, что список формировался на основе почитаемости европейских святых православными в зарубежных епархиях. синод учитывал безупречность исповедания ими православной веры, обстоятельства, при которых состоялось прославление, а также отсутствие упоминания имени святого в полемических трудах по борьбе с восточной церковью и восточным обрядом.","представитель рпц рассказал, что список формировался на основе почитаемости европейских святых православными в зарубежных епархиях. синод учитывал безупречность исповедания ими православной веры, обстоятельства, при которых состоялось прославление, а также отсутствие упоминания имени святого в полемических трудах по борьбе с восточной церковью и восточным обрядом."
"при этом, как утверждает финансовыи управляющии, указанное имущество никогда не выбывало из фактического владения и пользования исаева. сам банкир против этого возражал.","при этом, как утверждает финансовый управляющий, указанное имущество никогда не выбывало из фактического владения и пользования исаева. сам банкир против этого возражал."
"- в какой момент усама проявил эту чёрную неблагодарность и повернулся против американцев, которые, по вашим словам, его вскормили? и если врагами были названы шурави, почему не продолжили бороться с их правопреемником? как это всё дошло до 2001 года, до башен-близнецов?","- в какой момент усама проявил эту чёрную неблагодарность и повернулся против американцев, которые, по вашим словам, его вскормили? и если врагами были названы шурави, почему не продолжили бороться с их правопреемником? как это всё дошло до 2001 года, до башен-близнецов?"
"карт-бланш,выдаваемый совсем не тем… в такойудручающей ситуации музыка кара караева, его прямо-таки молитвенное отношение к творчеству – какспасение, своего рода шанс на самосохранение.","карт-бланш, выдаваемый совсем не тем… в такой удручающей ситуации музыка кара караева, его прямо-таки молитвенное отношение к творчеству – как спасение, своего рода шанс на самосохранение."
"соединённые штаты прикарманили этот наш добрый жест и сказали: русские хотят паритета, тогда пускай закрывают одно из четырёх генконсульств, потому что у нас в россии только три генеральных консульства, продолжил лавров. после этого было закрыто консульство рф в сан-франциско, а также и дипломатические объекты в нью-йорке и вашингтоне. при этом американские власти провели обыскифактически в собственности рф.","соединённые штаты прикарманили этот наш добрый жест и сказали: русские хотят паритета, тогда пускай закрывают одно из четырёх генконсульств, потому что у нас в россии только три генеральных консульства, продолжил лавров. после этого было закрыто консульство рф в сан-франциско, а также и дипломатические объекты в нью-йорке и вашингтоне. при этом американские власти провели обыски фактически в собственности рф."
"вернемся к генпроектировщику. если я не найду на ремонт квартиры архитектора и приличного прораба, сроки могут быть сорваны. но сначала я, заказчик, разберусь в себе, а потом буду винить тех, кто делает малярку и прочее. начальный проект гостиницы поменялся процентов на девяносто уже в процессе наших работ. не имея проекта, невозможно рассчитать конечную стоимость. какая сумма была фактически затрачена, никто на самом деле не знает. из прессы знаю, что на отель 250 млн долларов потратили. сколько strabag до нас затратил, не знаю, но нетрудно посчитать, что сумма нашего контракта была порядка 50 млн долларов.","вернёмся к генпроектировщику. если я не найду на ремонт квартиры архитектора и приличного прораба, сроки могут быть сорваны. но сначала я, заказчик, разберусь в себе, а потом буду винить тех, кто делает малярку и прочее. начальный проект гостиницы поменялся процентов на девяносто уже в процессе наших работ. не имея проекта, невозможно рассчитать конечную стоимость. какая сумма была фактически затрачена, никто на самом деле не знает. из прессы знаю, что на отель 250 млн долларов потратили. сколько «strabag» до нас затратил, не знаю, но нетрудно посчитать, что сумма нашего контракта была порядка 50 млн долларов."
"дальше оперативники укон поехали на съемные квартиры тех, кто находился в иномарке во время погони. на съемной квартире у водителя, 29-летнего алексея филипьева, на улице лени голикова, дом 29, корпус 6, было сложено 133 килограмма синтетического наркотика. на адмирала коновалова, где филипьев жил, сотрудники правоохранительных органов нашли психотроп в виде таблеток тысячу штук. такая партия была найдена в квартире на старорусской улице, где он зарегистрирован.","дальше оперативники укон поехали на съёмные квартиры тех, кто находился в иномарке во время погони. на съёмной квартире у водителя, 29-летнего алексея филипьева, на улице лёни голикова, дом 29, корпус 6, было сложено 133 килограмма синтетического наркотика. на адмирала коновалова, где филипьев жил, сотрудники правоохранительных органов нашли психотроп в виде таблеток тысячу штук. такая партия была найдена в квартире на старорусской улице, где он зарегистрирован."
"по сообщению мид греции, еврокомиссар по делам миграции димитрис аврамопулос на встрече с заместителем главы мид греции йоргосом катругалосом заявил, что действие упрощенной визовой программы для посещения северных островов эгейского моря для турецких граждан с туристическими целями продлено до конца 2017 года. про граждан других государств в официальной информации греческих дипломатов ничего не говорится.","по сообщению мид греции, еврокомиссар по делам миграции димитрис аврамопулос на встрече с заместителем главы мид греции йоргосом катругалосом заявил, что действие упрощённой визовой программы для посещения северных островов эгейского моря для турецких граждан с туристическими целями продлено до конца 2017 года. про граждан других государств в официальной информации греческих дипломатов ничего не говорится."
"просим костанайцев и гостей города заранее планировать свои маршруты на автомобилях, выбрав направления объезда участка перекрытия.","просим костанайцев и гостей города заранее планировать свои маршруты на автомобилях, выбрав направления объезда участка перекрытия."
необкатанные слова,необкатанные слова
"как бы не сглазить, но спешу похватсаться что против меня подобные иски возбуждались не раз.","как бы не сглазить, но спешу похвастаться, что против меня подобные иски возбуждались не раз."
"поддержка, обещанная инновационной отрасли федеральными властями, пришла с опозданием. так, принятое в сентябре постановление правительства обязует естественные монополии до 2020 года на 75% заменить существующее освещение светодиодным. это, по словам экспертов, создаст рынок примерно в 300 млрд рублей. причем только в 2017 году предприятия должны совершить закупки примерно на 40 млрд рублей.","поддержка, обещанная инновационной отрасли федеральными властями, пришла с опозданием. так, принятое в сентябре постановление правительства обязует естественные монополии до 2020 года на 75% заменить существующее освещение светодиодным. это, по словам экспертов, создаст рынок примерно в 300 млрд рублей. причём только в 2017 году предприятия должны совершить закупки примерно на 40 млрд рублей."
"дело оперативно-разыскной деятельности в отношении евгения горькова, подписанное заместителем главы гуэбипк мвд россии, это ваш брат, я так понимаю, из которого следует, что по месту регистрации его обнаружить не удалось, сказала судья елена ленская.","дело оперативно-розыскной деятельности в отношении евгения горькова, подписанное заместителем главы гуэбипк мвд россии, это ваш брат, я так понимаю, из которого следует, что по месту регистрации его обнаружить не удалось, сказала судья елена ленская."
"вышедший на свободу серединин с решением красногвардейского суда не согласен. апелляционная жалоба уже написана. как сообщили сегодня в горсуде петербурга, заявление зарегистрируют на следующей неделе.","вышедший на свободу серединин с решением красногвардейского суда не согласен. апелляционная жалоба уже написана. как сообщили сегодня в горсуде петербурга, заявление зарегистрируют на следующей неделе."
"андрей евдокимов занимает 118 место в рейтинге миллиардеров 2016, состояние его оценивается в 5,76 млрд рублей. основной актив, помимо императорского яхт-клуба, группа компаний гранит. в послужном списке компании строительство в красной поляне около сочи (горнотуристический центр газпрома, курорт альпикасервис). компания также участвовала в строительстве проекта роза хутор, в который инвестировал глава интерроса владимир потанин. в петербурге подрядчики участвовали в строительстве ладожского вокзала, дамбы, порта в устьлуге.","андрей евдокимов занимает 118 место в рейтинге миллиардеров 2016, состояние его оценивается в 5,76 млрд рублей. основной актив, помимо императорского яхт-клуба, группа компаний гранит. в послужном списке компании строительство в красной поляне около сочи (горнотуристический центр газпрома, курорт альпикасервис). компания также участвовала в строительстве проекта роза хутор, в который инвестировал глава интерроса владимир потанин. в петербурге подрядчики участвовали в строительстве ладожского вокзала, дамбы, порта в устьлуге."
"для англичан эти территории представляли интерес, как источники аучука и пальмового масла.","для англичан эти территории представляли интерес, как источники каучука и пальмового масла."
"если интересна судьба новых крестов на 4 тысячи мест, то вряд ли они будутсданы в 2017 году. кресты-2 это 67 объектов. а их смета, как недавно заявлял фонтанке глава уфсн по санкт-петербургу и ленобласти игорь потапенко, больше ни на рубль не увеличится.","если интересна судьба новых крестов на 4 тысячи мест, то вряд ли они будут сданы в 2017 году. кресты-2 это 67 объектов. а их смета, как недавно заявлял фонтанке глава уфсн по санкт-петербургу и ленобласти игорь потапенко, больше ни на рубль не увеличится."
"тулегенная инженерияпрофессиональное сотрудничество в отечественной журналистике выходит на новый уровень: пока мы делаем обзоры казахской прессы, казахская пресса анализирует наши материалы.","тулегенная инженерия. профессиональное сотрудничество в отечественной журналистике выходит на новый уровень: пока мы делаем обзоры казахской прессы, казахская пресса анализирует наши материалы."
"другие игроки сознательно прекратили рост такого предложения, полагая, что спрос на него не безграничен. в сегменте комфорткласса такой выбор делает не более 50% клиентов. нашей целевой аудитории стопроцентный охват всех квартир чистовой отделкой не требуется, говорит директор по маркетингу и продажам компании юит санкт-петербург екатерина гуртовая.","другие игроки сознательно прекратили рост такого предложения, полагая, что спрос на него не безграничен. в сегменте комфорт-класса такой выбор делает не более 50% клиентов. нашей целевой аудитории стопроцентный охват всех квартир чистовой отделкой не требуется, говорит директор по маркетингу и продажам компании юит санкт-петербург екатерина гуртовая."
"пока шёл этот процесс, я высказал только одну мысль: единственное, чего не сможет суд, это всё-таки определить, есть ли бог, комментирует приговорадвокат генри резник. но я ошибся. наш российский суд абсолютно всемогущ: он установил, что бог есть. а его отрицание это оскорбление.","пока шёл этот процесс, я высказал только одну мысль: единственное, чего не сможет суд, это всё-таки определить, есть ли бог, комментирует приговор адвокат генри резник. но я ошибся. наш российский суд абсолютно всемогущ: он установил, что бог есть. а его отрицание это оскорбление."
ранее об этом же заявили нынешний первый номер рейтинга серб новак джокович и еще один суперигрок — испанец рафаэль надаль.,ранее об этом же заявили нынешний первый номер рейтинга серб новак джокович и ещё один суперигрок — испанец рафаэль надаль.
"в состав жилого комплексашуваловскийвходят 24 дома с яркими фасадами. при разработке проекта комплекса были предусмотрены несколько детских садов и школа. обладатели квартир в новостройках смогут воспользоваться уже имеющимися объектами инфраструктуры приморского района, которые находятся в пешей доступности. до ближайшего метро комендантский проспект всего 10 минут езды на транспорте. благодаря удобному расположению рядом с кад и зсд можно быстро добраться до побережья финского залива.","в состав жилого комплекса шуваловский входят 24 дома с яркими фасадами. при разработке проекта комплекса были предусмотрены несколько детских садов и школа. обладатели квартир в новостройках смогут воспользоваться уже имеющимися объектами инфраструктуры приморского района, которые находятся в пешей доступности. до ближайшего метро комендантский проспект всего 10 минут езды на транспорте. благодаря удобному расположению рядом с кад и зсд можно быстро добраться до побережья финского залива."
"после масштабной проверки прокуратура посекундно разложила эпизод с проходом предполагаемого смертника акбаржона джалилова на станцию академическая. ответственные названы поименно, перед ними открыта перспектива уголовного дела за халатность. но изучение инструкций метрополитена приводит к выводу, что на сотрудников контроля возложены обязанности, несоразмерные с их компетенцией.","после масштабной проверки прокуратура посекундно разложила эпизод с проходом предполагаемого смертника акбаржона джалилова на станцию академическая. ответственные названы поименно, перед ними открыта перспектива уголовного дела за халатность. но изучение инструкций метрополитена приводит к выводу, что на сотрудников контроля возложены обязанности, несоразмерные с их компетенцией."
"10 июня в международный день вязания на публике в музее варежки пройдет флешмоб для рукодельниц, где каждый сможет ввязать петли в историю. посетители музея примут участие в создании шерстяного украшения набережной ко дню россии. совместно с лучшими декораторами города участники орнаментируют шерстяной пряжей три лошадки в цвет российского флага.","10 июня в международный день вязания на публике в музее варежки пройдет флешмоб для рукодельниц, где каждый сможет ввязать петли в историю. посетители музея примут участие в создании шерстяного украшения набережной ко дню россии. совместно с лучшими декораторами города участники орнаментируют шерстяной пряжей три лошадки в цвет российского флага."
"'фонтанка' писала ранее, что кикоть на должности прокурора новгородской области имел сложные взаимоотношения с и.о. главы регионального следственного управления ск екатериной гилиной. по оценкам местных силовиков, эти взаимоотношения можно было расценить не иначе как 'войну', что проявлялось во многих рабочих аспектах. подчиненные гилиной в ноябре 2016 года пожаловались на начальницу главе администрации президента. среди претензий было то, что она неоднократно получала представления от прокурора, а деньги на выписанные ей штрафы собирала с подчиненных. после медиаскандала с опубликованием письма работников ск гилина перешла на работу в петербург заместителем начальника городского су ск.","'фонтанка' писала ранее, что кикоть на должности прокурора новгородской области имел сложные взаимоотношения с и.о. главы регионального следственного управления ск екатериной гилиной. по оценкам местных силовиков, эти взаимоотношения можно было расценить не иначе как 'войну', что проявлялось во многих рабочих аспектах. подчинённые гилиной в ноябре 2016 года пожаловались на начальницу главе администрации президента. среди претензий было то, что она неоднократно получала представления от прокурора, а деньги на выписанные ей штрафы собирала с подчинённых. после медиаскандала с опубликованием письма работников ск гилина перешла на работу в петербург заместителем начальника городского су ск."
"в смольный документы подала единая россия с кандидатурой наргис ахадовой (начальник управления внешних связей аппарата собрания, некогда председатель одного из уиков в петроградском районе, к которой были многичисленные вопросы по итогам выборов у бывшего руководства гик), партия роста направила пакет документов на алексея березина (некогда члена гик и сотрудника исполкома единой россии), и партия яблоко выдвинула ольгу покровскую, работающую в аппарате уполномоченного по правам человека в петербурге. справедливая россия, направившая документы по линии закса, выдвинула на эту должность помощницу депутата надежды тихоновой екатерину фесик. по информации фонтанки, не всем в партии было по нраву это выдвижение, в частности, оппоненты ссылались на родство будущего члена горизбиркома: мужем фесик является юрист иван попов, работающий на единую россию в адмиралтейском районе.","в смольный документы подала «единая россия» с кандидатурой наргис ахадовой (начальник управления внешних связей аппарата собрания, некогда председатель одного из уиков в петроградском районе, к которой были многочисленные вопросы по итогам выборов у бывшего руководства гик), партия роста направила пакет документов на алексея березина (некогда члена гик и сотрудника исполкома единой россии), и партия яблоко выдвинула ольгу покровскую, работающую в аппарате уполномоченного по правам человека в петербурге. «справедливая россия», направившая документы по линии закса, выдвинула на эту должность помощницу депутата надежды тихоновой екатерину фесик. по информации «фонтанки», не всем в партии было по нраву это выдвижение, в частности, оппоненты ссылались на родство будущего члена горизбиркома: мужем фесик является юрист иван попов, работающий на «единую россию» в адмиралтейском районе."
